title,author,pub_date,genres
Animal Farm,George Orwell,1945-08-17,"Roman à clef, Satire, Children's literature, Speculative fiction"
A Clockwork Orange,Anthony Burgess,1962,"Science Fiction, Novella, Speculative fiction, Utopian and dystopian fiction"
The Plague,Albert Camus,1947,"Existentialism, Fiction, Absurdist fiction, Novel"
An Enquiry Concerning Human Understanding,David Hume,,
A Fire Upon the Deep,Vernor Vinge,,"Hard science fiction, Science Fiction, Speculative fiction, Fantasy"
All Quiet on the Western Front,Erich Maria Remarque,1929-01-29,"War novel, Roman à clef"
A Wizard of Earthsea,Ursula K. Le Guin,1968,"Children's literature, Fantasy, Speculative fiction, Bildungsroman"
Anyone Can Whistle,Arthur Laurents,,
Blade Runner 3: Replicant Night,K. W. Jeter,1996-10-01,"Science Fiction, Speculative fiction"
Blade Runner 2: The Edge of Human,K. W. Jeter,1995-10-01,"Science Fiction, Speculative fiction"
Book of Joshua,,,
Book of Ezra,,,
Book of Numbers,,,
Book of Ruth,,,
Book of Esther,,,
Book of Job,,,Religious text
Book of Hosea,,,
Book of Jonah,,,
Book of Micah,,,
Book of Haggai,,,
Crash,J. G. Ballard,1973,"Speculative fiction, Fiction, Novel"
Children of Dune,Frank Herbert,1976,"Science Fiction, Speculative fiction, Children's literature, Fiction"
"Candide, ou l'Optimisme",Voltaire,1759-01,"Satire, Bildungsroman, Picaresque novel"
Chapterhouse Dune,Frank Herbert,1985-04,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Carmilla,Sheridan Le Fanu,1872,Gothic fiction
The Cider House Rules,John Irving,1985,Fiction
Dracula,Bram Stoker,1897,"Science Fiction, Speculative fiction, Horror, Invasion literature"
Don Quixote,Miguel de Cervantes,1605,"Parody, Children's literature, Psychological novel, Satire"
Deuteronomy,,,
Dune Messiah,Frank Herbert,1969,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Darwin's Dangerous Idea,Daniel Dennett,1995,"Philosophy, Science"
Death of a Hero,Richard Aldington,,Fiction
Exodus,,,Religious text
The Trial,Franz Kafka,1925,"Fiction, Absurdist fiction, Novel"
The Metamorphosis,,1915,"Children's literature, Absurdist fiction, Novella, Speculative fiction"
